ip_range,country,region,city,postal
77.199.38.0/24,FR,Brittany,Fouillard,35235
77.199.41.0/24,FR,Île-de-France,Paris,75000
77.199.39.0/24,FR,Île-de-France,Paris,75000
77.199.42.0/24,FR,Île-de-France,Paris,75000
77.199.44.0/24,FR,Grand Est,Metz,57000
77.199.43.0/24,FR,Île-de-France,Paris,75000
77.199.46.0/24,FR,Île-de-France,Saint-Gratien,95215 CEDEX
77.199.48.0/24,FR,Normandy,Barentin,76360
77.199.50.0/24,FR,Pays de la Loire,Le Ribay,53640
77.199.51.0/24,FR,Pays de la Loire,Nantes,44000
77.199.52.0/24,FR,Île-de-France,Paris,75000
77.199.55.0/24,FR,Île-de-France,Paris,75000
77.199.54.0/24,FR,Île-de-France,Paris,75000
77.199.58.0/24,FR,Centre,Argent-sur-Sauldre,18410
77.199.49.0/24,FR,Pays de la Loire,Chantonnay,85110
77.199.57.0/24,FR,Normandy,Louviers,27407 CEDEX
77.199.56.0/24,FR,Hauts-de-France,Hermies,62147
77.199.59.0/24,FR,Pays de la Loire,La Roche-sur-Yon,85000
77.199.60.0/24,FR,Grand Est,Bouzy,51150
77.199.61.0/24,FR,Île-de-France,Paris,75783 CEDEX 16
77.199.45.0/24,FR,Grand Est,Metz,57050
77.199.62.0/24,FR,Île-de-France,Paris,75000
77.199.63.0/24,FR,Hauts-de-France,Hesdin,62140
77.199.64.0/24,FR,Bourgogne-Franche-Comté,Montferrand-le-Château,25320
77.199.66.0/24,FR,Brittany,Châteauneuf-d'Ille-et-Vilaine,35430
77.199.67.0/24,FR,Nouvelle-Aquitaine,Aiffres,79230
77.199.69.0/24,FR,Nouvelle-Aquitaine,Pujo-le-Plan,40190
77.199.70.0/24,FR,Normandy,Louviers,27400
77.199.65.0/24,FR,Bourgogne-Franche-Comté,Besançon,25000
77.199.68.0/24,FR,Auvergne-Rhône-Alpes,Saint-Alban-de-Roche,38080
77.199.72.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.73.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.74.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.76.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.71.0/24,FR,Normandy,Caen,14000
77.199.75.0/24,FR,Centre,Tours,37000
77.199.81.0/24,FR,Grand Est,Kingersheim,68260
77.199.79.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.80.0/24,FR,Grand Est,Kingersheim,68262 CEDEX
77.199.78.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.77.0/24,FR,Centre,Tours,37000
77.199.47.0/24,FR,Auvergne-Rhône-Alpes,Villeurbanne,69100
77.199.83.0/24,FR,Grand Est,Mulhouse,68050 CEDEX 1
77.199.84.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69002
77.199.85.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69000
77.199.86.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.199.88.0/24,FR,Bourgogne-Franche-Comté,Dijon,21000
77.199.87.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69004
77.199.91.0/24,FR,Île-de-France,Paris,75000
77.199.89.0/24,FR,Île-de-France,Paris,75000
77.199.92.0/24,FR,Nouvelle-Aquitaine,Oloron-Sainte-Marie,64400
77.199.90.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69000
77.199.93.0/24,FR,Auvergne-Rhône-Alpes,Chamonix-Mont-Blanc,74402 CEDEX
77.199.94.0/24,FR,Corsica,Bastia,20200
77.199.95.0/24,FR,Île-de-France,Paris,75000
77.199.96.0/24,FR,Île-de-France,Paris,75000
77.199.97.0/24,FR,Occitanie,Alzonne,11170
77.199.99.0/24,FR,Provence-Alpes-Côte d'Azur,Ventabren,13122
77.199.98.0/24,FR,Provence-Alpes-Côte d'Azur,Coudoux,13111
77.199.100.0/24,FR,Hauts-de-France,Hoymille,59492
77.199.101.0/24,FR,Île-de-France,Paris,75000
77.199.102.0/24,FR,Île-de-France,Paris,75000
77.199.103.0/24,FR,Centre,Briare,45250
77.199.104.0/24,FR,Auvergne-Rhône-Alpes,Communay,69360
77.199.105.0/24,FR,Auvergne-Rhône-Alpes,Communay,69360
77.199.106.0/24,FR,Île-de-France,Paris,75000
77.199.108.0/24,FR,Île-de-France,Paris,75000
77.199.107.0/24,FR,Île-de-France,Paris,75000
